Item,Reference,Qty,Value,Description,Package,Manufacturer,Manufacturer Part #,Digi-Key Part #,Tolerance,Notes
1,J1,1,48037-0001,CONN PLUG USB 4POS RT ANG PCB,Through-hole right angle,Molex,0480370001,WM17117-ND,,USB-A plug; only VBUS and GND used
2,U1,1,MCP1702T-3302E/CB,IC REG LIN 3.3V 250MA SOT23A-3,SOT-23-3,Microchip,MCP1702T-3302E/CB,MCP1702T-3302E/CBCT-ND,,3.3 V LDO regulator
3,U2,1,MCP6021T-E/OT,IC OPAMP GP 10MHZ RRO SOT23-5,SOT-23-5,Microchip,MCP6021T-E/OT,MCP6021T-E/OTCT-ND,,Rail-to-rail op-amp (oscillator)
4,D1,1,LED,LED RED CLEAR 0805 SMD,0805,Lite-On,LTST-C171KRKT,160-1427-1-ND,,Red LED
5,"C1,C5",2,1u,CAP CER 1UF 25V X7R 0603,0603,KEMET,C0603C105K3RACTU,399-7376-1-ND,10%,C1 = LDO input cap; C5 = op-amp bypass
6,C3,1,10u,CAP CER 10UF 16V X5R 0603,0603,Murata,GRT188R61C106KE13D,490-12317-1-ND,10%,LDO output / bulk cap
7,C4,1,0.1u,CAP CER 0.1UF 50V X7R 0603,0603,Yageo,CC0603JRX7R9BB104,311-1779-1-ND,5%,Timing capacitor
8,"R1,R2",2,4.99k,RES SMD 4.99K OHM 1% 1/10W 0603,0603,Yageo,RC0603FR-074K99L,311-4.99KHRCT-ND,1%,Mid-rail divider
9,R3,1,40.2k,RES SMD 40.2K OHM 1% 1/10W 0603,0603,Yageo,RC0603FR-0740K2L,311-40.2KHRCT-ND,1%,Threshold resistor
10,R4,1,3.01M,RES SMD 3.01M OHM 1% 1/10W 0603,0603,Yageo,RC0603FR-073M01L,311-3.01MHRCT-ND,1%,Timing resistor
11,R5,1,20k,RES SMD 20K OHM 1% 1/10W 0603,0603,Yageo,RC0603FR-0720KL,311-20.0KHRCT-ND,1%,Threshold / positive feedback resistor
12,R6,1,110,RES SMD 110 OHM 1% 1/10W 0603,0603,Yageo,RC0603FR-07110RL,311-110HRCT-ND,1%,LED current-limit resistor
